category,title,author,created_time,tid,topic,content
参会经验,[求助]会议费 4,cherryzhou63,2016-03-17,10109066,学术会议,"
国际会议费240欧贵不贵

[ 发自小木虫ios客户端 ]"
讨论咨询,[求助]请问 第三届汽车、机械与电气工程国际会议(ICVMEE 2016) 有人参加过前两届吗？靠谱吗 5 (评阅+1),dyhseu,2016-03-20,10118787,学术会议,"
第三届汽车、机械与电气工程国际会议(ICVMEE 2016)
3rd International Conference on Vehicle, Mechanical and Electrical Engineering

开会地点应该是武汉理工大学，会议应该是真的，就是说是能EI检索，但目前好像第一届因为一些问题没能检索，第二届才开完，可能还有再等一段时间才知道。

所以求助一下有没有去过前两届的虫友？这个会议怎么样？"
讨论咨询,[求助]中了学术会议，但是注册费是什么 3,顾小四,2016-03-17,10108975,学术会议,"
中了一篇会议论文，让去开会，是只有付了注册费才能去开会吗？我有个同学想跟我一起去，要是两个人去开会，是不是要两份注册费呢？他没有论文，要是去的话，都需要什么费用吗？
希望有经验的前辈解答一下，万分感谢~~"
讨论咨询,[求助] [已完结]Sci-Mix Consideration是什么意思,hero骐,2014-10-22,8055449,学术会议,"
请问各位， ACS会议论文投稿时有个选项“Sci-Mix Consideration”是什么意思，如图


QQ图片20141022180515.png"
讨论咨询,[求助]Easychair上一些评委意见变成灰色是什么意思？ 5,mathxiao5,2016-03-20,10120321,学术会议,"
在Easychair上投了一个会议，上面一些评委意见可见（反驳阶段以后，但是还没到最终录用通知时候）。
最近发现里面一些评委的意见变成灰色的了（不是每个评委的意见都改变了），这是怎么回事呢？
变成灰色是什么意思呢？"
讨论咨询,[求助]韩国济州岛 ICMWT会议 求同行 5,木瓜520,2016-03-18,10113403,学术会议,"
中了一篇会议论文??5月下旬去韩国济州岛开会的??有没有一样的虫友啊??最好女生啊??有木有"
讨论咨询,[求助] [已完结]请问ASEI这个会议可靠吗？有通过个公司投稿的网友吗？? ?(  1 2 ),kaixinlaohe,2015-04-23,8844912,学术会议,"
为了毕业达标先凑一篇EI论文发表，在本坛上看到这个东方华光公司，把稿子给了他们，一周后说可发表。版面费是8000，还发过来相关的修改要求。
关键的问题是钱数太多，怕上当受骗。
我跟他们商量要去下他们公司，当面交钱。结果他们不让，这让我的疑心更重了。
以下是他们的部分谈话。


请网友多多指点！
另外发现论坛上评论这个公司的特别少，难是被屏蔽了吗？"
会议检索,[求助] [已完结]第三届工程管理会议六月份举办，11月份就被检索了? ?(  1 2 3 4 5 ),ispm,2015-12-29,9809310,学术会议,"
第三届工程管理会议今年6月20日召开，11月就被EI检索了。
网址：www.ispmcn.com


EI收录.png



第三届工程管理ＥＩ证明.jpg"
会议检索,[求助]求助EI会议论文是否被索引 48,泡泡冰,2016-03-18,10111056,学术会议,"
麻烦帮忙查一下上面这个会议的论文是否已经被EI 索引了，谢谢！
论文题目：The Application Research of ERP in Enterprise Information Management 
出版社：TTP出版社期刊《Applied Mechanics and Materials》(ISSN: 1662-7482)
VOLUMES：713-715"
讨论咨询,[求助]求大家推荐工商管理方向的被EI\ISTP检索的国际会议 8 (评阅+1),猴猴T,2015-01-31,8502683,学术会议,"
现在好多会议不靠谱，所以想问一下靠谱的由学会、高校或者研究所主办的会议一般在哪里去找啊，先在此跪谢了"
会议检索,[求助][已完结]法国Atlantis Press出版社 2015年出版的会议论文会被EI检索吗？? ?(  1 2 3 4 5 ),522403323,2015-05-04,8883591,学术会议,"
法国Atlantis Press出版社 2015年出版的会议论文会被EI检索吗？? ? 最近投了一个ICMRA 2015，组委会说：所有录用的论文将由法国Atlantis Press出版社出版，将被提交CPCI(ISTP)和EI检索。

将在会后一个月内见刊，目前是ISTP检索最快的出版社，时间是会后3个月左右。? ?? ?? ?? ???求助各位大神！??感谢

[ 发自手机版 http://emuch.net/3g ]"
